email,first_name,last_name,cf_id,company_name,description,Left of Goal
mathilde.kruschwitz@yahoo.com,Mathilde,Kruschwitz,1911,Willis and Sons,Fundamental incremental database,72323.00
chantal.armas@jenkins.net,Chantal,Armas,1572,Mcmillan Group,Advanced cohesive Graphic Interface,98164.00
caroline.reeves@yahoo.com,Caroline,Reeves,2882,Barnes-Williams,Upgradable explicit forecast,3768.00
gabriela.padilla@pearson-russell.com,Gabriela,Padilla,2510,Parker-Morris,Assimilated next generation instruction set,40291.00
lauretta.neal@hotmail.de,Lauretta,Neal,2284,Foley-Cox,Progressive zero administration leverage,151747.00
danny.farrell@hotmail.com,Danny,Farrell,2488,Cooper Inc,Polarized discrete product,1503.00
katarina.clarke@hotmail.com.au,Katarina,Clarke,910,Wiggins Ltd,Upgradable analyzing core,3739.00
henry.gucci@leleu.fr,Henry,Gucci,238,Parker PLC,Reduced interactive matrix,41198.00
ariadna.geisel@rangel.com,Ariadna,Geisel,1114,Nunez-Richards,Exclusive attitude-oriented intranet,88154.00
svenja.perrin@berger.com,Svenja,Perrin,65,Berry-Richardson,Automated zero tolerance implementation,8362.00
imelda.guerin@stumpf.net,Imelda,Guerin,948,Burns-Burnett,Front-line scalable definition,1559.00
calogero.cross@mercantini.it,Calogero,Cross,968,Warren Ltd,Distributed system-worthy application,153288.00
tobias.carbajal@live.com,Tobias,Carbajal,3138,Joyce PLC,Synchronized directional capability,426.00
guillermina.nicholson@grondin.fr,Guillermina,Nicholson,563,Rush-Bowers,Persevering analyzing extranet,71872.00
